product_id,user_id,rating
101,11590,6.3191686
101,14215,6.219183
101,11964,6.212409
101,52573,6.100802
101,11807,6.06471
103,52573,6.1074595
103,11964,6.0985074
103,11949,6.0573044
103,118988,6.0009184
103,12342,5.923496
108,52573,6.089279
108,3743,6.04276
108,11964,6.013831
108,49356,5.9025574
108,49380,5.7501116
111,52573,6.348161
111,11964,6.1649885
111,3743,6.0476937
111,12342,5.8943458
111,118988,5.8942513
115,383336,4.8830805
115,383366,4.8830805
115,383346,4.8830805
115,383376,4.8830805
115,383357,4.8830805
122,52573,6.5119295
122,11964,6.3835526
122,11590,6.230942
122,14215,6.2089086
122,184366,6.157939
126,12342,6.667435
126,52573,6.6135244
126,14215,6.527421
126,11964,6.4979086
126,11949,6.4625564
128,52573,7.234552
128,11964,6.7096725
128,114115,6.6799445
128,12342,6.664707
128,14215,6.650852
132,433476,4.876642
132,433477,4.876642
132,56767,4.876642
132,433487,4.876642
132,433486,4.876642
133,11964,5.810885
133,11590,5.796338
133,15091,5.6853223
133,11599,5.662219
133,3743,5.6099963
137,434016,4.871479
137,434006,4.871479
137,433996,4.871479
137,385206,4.871479
137,433997,4.871479
140,508246,4.8855314
140,36386,4.8855314
140,508257,4.8855314
140,508247,4.8855314
140,508256,4.8855314
146,52573,5.0023026
146,301630,4.887609
146,508966,4.887609
146,508976,4.887609
146,508967,4.887609
148,12342,5.020992
148,509180,4.8900585
148,509170,4.8900585
148,509190,4.8900585
148,509182,4.8900585
152,478682,4.8880715
152,478686,4.8880715
152,478697,4.8880715
152,478707,4.8880715
152,478680,4.8880715
155,52573,6.7143297
155,14215,6.6041226
155,12342,6.5048833
155,11964,6.469378
155,118988,6.4643116
157,478986,4.8650575
157,478987,4.8650575
157,478976,4.8650575
157,18347,4.8650575
157,478980,4.8650575
159,11964,5.753057
159,3743,5.5415835
159,184366,5.3559303
159,52573,5.2209897
159,114919,5.192478
177,554467,4.871593
177,554496,4.871593
177,554476,4.871593
177,554466,4.871593
177,554487,4.871593
182,114436,4.8662763
182,114446,4.8662763
182,114447,4.8662763
182,114437,4.8662763
182,114422,4.8662763
183,118988,5.4643855
183,11964,5.4099073
183,11590,5.3360033
183,11807,5.271373
183,3743,5.2226677
185,114806,4.8847775
185,114817,4.8847775
185,114797,4.8847775
185,114117,4.8847775
185,114816,4.8847775
190,36,4.878882
190,16,4.878882
190,17,4.878882
190,7,4.878882
190,20,4.878882
192,11964,5.230283
192,3743,4.995423
192,332977,4.935671
192,165798,4.9289584
192,337,4.8946133
193,49539,5.082166
193,118988,5.0100174
193,121248,4.9495325
193,333455,4.9343886
193,10,4.922387
206,12532,4.867969
206,12520,4.867969
206,12556,4.867969
206,12557,4.867969
206,12542,4.867969
209,12966,4.8691607
209,12996,4.8691607
209,12977,4.8691607
209,12997,4.8691607
209,12986,4.8691607
210,332977,4.956266
210,49206,4.884181
210,49197,4.884181
210,49207,4.884181
210,49210,4.884181
211,49375,4.870409
211,49382,4.870409
211,49367,4.870409
211,49376,4.870409
211,49355,4.870409
212,49565,4.8710246
212,49562,4.8710246
212,49546,4.8710246
212,49560,4.8710246
212,49555,4.8710246
218,50460,4.879996
218,50480,4.879996
218,50487,4.879996
218,50457,4.879996
218,50472,4.879996
222,11964,5.622129
222,147775,5.5539556
222,15958,5.392842
222,104638,5.3729157
222,3743,5.3484564
223,52573,5.020668
223,11964,5.0177536
223,107626,4.904318
223,107627,4.904318
223,107636,4.904318
224,52573,5.505434
224,11964,5.4904213
224,333455,5.443528
224,3743,5.408026
224,11949,5.3581347
225,11964,5.070044
225,107790,4.8938503
225,107810,4.8938503
225,107816,4.8938503
225,107796,4.8938503
230,14215,6.318056
230,11964,6.291335
230,52573,6.205048
230,11590,6.172176
230,118988,6.109246
232,118988,4.9097266
232,195906,4.8885336
232,195886,4.8885336
232,195897,4.8885336
232,195867,4.8885336
233,118988,5.039872
233,11964,4.931519
233,333455,4.8832974
233,196066,4.8816357
233,196106,4.8816357
236,11964,6.2874146
236,3743,6.086865
236,11590,6.060283
236,52573,6.027415
236,118988,5.996328
243,11590,6.198217
243,14215,6.1902394
243,52573,6.1768947
243,12342,6.163726
243,11964,6.163379
246,14215,6.135575
246,12336,5.904597
246,11949,5.827881
246,118988,5.782678
246,52573,5.746051
251,334822,5.2878084
251,152351,5.1996803
251,12342,5.0723534
251,52573,5.071091
251,101024,5.0702405
253,333226,4.891742
253,333227,4.891742
253,333217,4.891742
253,333237,4.891742
253,333240,4.891742
255,333472,4.8446207
255,333456,4.8446207
255,333467,4.8446207
255,333457,4.8446207
255,333470,4.8446207
259,107416,5.070416
259,118988,5.0663147
259,50731,5.0188603
259,11964,5.0174317
259,52573,5.0121746
1016,118988,6.546488
1016,14215,6.4921303
1016,11964,6.4842854
1016,11590,6.484117
1016,52573,6.449634
1019,11964,6.686017
1019,11590,6.5807357
1019,3743,6.495319
1019,14215,6.4731793
1019,52573,6.3807163
1025,49888,6.7320647
1025,49356,6.679674
1025,49380,6.6787357
1025,52573,6.639434
1025,49364,6.6299744
1030,11964,6.24519
1030,11590,6.1709056
1030,50731,6.1584363
1030,15091,6.138548
1030,11599,6.134829
